ID,1st choice,2nd choice,3rd choice,4th choice,5th choice,6th choice,7th choice,8th choice,9th choice,10th choice,11th choice
000103-00-0684, C01,,,,,,,,,,
000103-00-0689, C01,C05,,,,,,,,,
000103-00-0693, C01,C04,C09,C05,,,,,,,
000103-00-0697, C01,,,,,,,,,,
000103-00-0698, C01,,,,,,,,,,
000103-00-0701, C01,,,,,,,,,,
000103-00-0705, C01,C06,C11,,,,,,,,
000103-00-0707, C01,,,,,,,,,,
000103-00-0709, C01,,,,,,,,,,
000103-00-0715, C01,C06,,,,,,,,,
000103-00-0719, C01,,,,,,,,,,
000103-00-0731, C01,,,,,,,,,,
000103-00-0734, C01,,,,,,,,,,
000103-00-0737, C01,,,,,,,,,,
000103-00-0741, C01,,,,,,,,,,
000103-00-0742, C01,,,,,,,,,,
000103-00-0746, C01,C06,C07,,,,,,,,
000103-00-0754, C01,,,,,,,,,,
000103-00-0761, C01,C06,C09,,,,,,,,
000103-00-0764, C01,,,,,,,,,,
000103-00-0766, C01,,,,,,,,,,
000103-00-0767, C01,C06,C04,C07,C10,,,,,,
000103-00-0772, C01,,,,,,,,,,
000103-00-0774, C01,,,,,,,,,,
000103-00-0775, C01,C06,,,,,,,,,
000103-00-0780, C01,C06,C04,C02,C11,C10,C07,,,,
000103-00-0786, C01,C09,C06,,,,,,,,
000103-00-0790, C01,C02,,,,,,,,,
000103-00-0796, C01,C11,C05,,,,,,,,
000103-00-0802, C01,C04,C10,C06,,,,,,,
000103-00-0806, C01,,,,,,,,,,
000103-00-0808, C01,C04,C11,C06,C10,,,,,,
000103-00-0811, C01,C05,,,,,,,,,
000103-00-0822, C01,C04,C06,C08,,,,,,,
000103-00-0827, C01,,,,,,,,,,
000103-00-0831, C01,,,,,,,,,,
000103-00-0837, C01,C09,C03,C05,,,,,,,
000103-00-0840, C01,C07,C03,C11,C09,C08,C10,C02,C04,C05,
000103-00-0842, C01,C06,C04,C05,,,,,,,
000103-00-0847, C01,C04,C06,,,,,,,,
000103-00-0855, C01,C05,C06,C04,C10,C11,,,,,
000103-00-0857, C01,C05,C02,C03,C08,C09,,,,,
000103-00-0860, C01,,,,,,,,,,
000103-00-0865, C01,,,,,,,,,,
000103-00-0866, C01,C07,C06,C11,,,,,,,
000103-00-0868, C01,C10,C04,C06,,,,,,,
000103-00-0876, C01,C02,C07,,,,,,,,
000103-00-0879, C01,,,,,,,,,,
000103-00-0889, C01,C04,C02,C06,,,,,,,
000103-00-0895, C01,,,,,,,,,,
000103-00-0900, C01,,,,,,,,,,
000103-00-0907, C01,,,,,,,,,,
000103-00-0917, C01,,,,,,,,,,
000103-00-0924, C01,,,,,,,,,,
000103-00-1012, C01,,,,,,,,,,
000103-00-1017, C01,C07,C10,C11,C04,C08,,,,,
000103-00-1021, C01,C05,C04,C09,C07,C08,C06,C02,,,
000103-00-1028, C01,C07,,,,,,,,,
000103-00-1052, C01,C06,C11,C04,C10,C02,C05,C07,C03,C08,C09
000103-00-1059, C01,C05,,,,,,,,,
000103-00-1066, C01,C06,C11,C10,C04,C07,C08,C03,C02,C09,C05
000103-00-1068, C01,C07,C02,,,,,,,,
000103-00-1072, C01,C06,C07,C04,C10,,,,,,
000103-00-1073, C01,C02,C03,C11,C04,C05,C08,C09,C10,C07,C06
000103-00-1082, C01,,,,,,,,,,
000103-00-0044, C01,C07,C04,C11,C10,,,,,,
000103-00-0047, C01,C10,WI01,,,,,,,,
000103-00-0050, C01,C05,C04,C10,,,,,,,
001001-00-0026, C01,C09,C06,C04,C08,,,,,,
001001-00-0040, C01,C09,C04,,,,,,,,
001001-00-0043, C01,C06,,,,,,,,,
001001-00-0072, C01,,,,,,,,,,
001001-00-0078, C01,C06,,,,,,,,,
001001-00-0098, C01,C11,C06,,,,,,,,
001001-00-0151, C01,C11,,,,,,,,,
001001-00-0244, C01,C10,C06,,,,,,,,
001001-00-0342, C01,C04,,,,,,,,,
001001-00-0373, C01,,,,,,,,,,
001001-00-0400, C01,C06,,,,,,,,,
001001-00-0413, C01,C11,C04,C10,C07,C06,C08,C02,C03,C09,C05
001001-00-0431, C01,,,,,,,,,,
001001-00-0438, C01,,,,,,,,,,
001001-00-0446, C01,,,,,,,,,,
001001-00-0472, C01,C11,C10,C07,C06,C04,,,,,
001001-00-0486, C01,,,,,,,,,,
001001-00-0509, C01,,,,,,,,,,
001001-00-0514, C01,C10,C06,C07,C04,,,,,,
001001-00-0516, C01,C07,C11,C10,C04,C06,,,,,
001001-00-0518, C01,C04,C05,C08,,,,,,,
001001-00-0539, C01,,,,,,,,,,
001001-00-0591, C01,C10,C04,,,,,,,,
001001-00-0619, C01,,,,,,,,,,
001001-00-0626, C01,,,,,,,,,,
001001-00-0636, C01,,,,,,,,,,
001001-00-0637, C01,C11,C04,C06,,,,,,,
001001-00-0669, C01,C11,C09,C04,C05,C07,C06,C10,C03,,
001001-00-0674, C01,,,,,,,,,,
001001-00-0702, C01,C06,,,,,,,,,
001001-00-0704, C01,,,,,,,,,,
001001-00-0719, C01,,,,,,,,,,
001001-00-0727, C01,C11,,,,,,,,,
001001-00-0740, C01,C07,C10,C11,C04,C06,,,,,
001001-00-0779, C01,C08,C09,C04,C11,C06,C07,C03,C02,C10,C05
001001-00-0813, C01,C10,C11,C03,C06,,,,,,
001001-00-0818, C01,,,,,,,,,,
001001-00-0827, C01,C05,C04,,,,,,,,
001001-00-0843, C01,,,,,,,,,,
001001-00-0901, C01,C07,C11,C05,C08,C06,,,,,
001001-00-0912, C01,C04,C10,C06,C08,C11,,,,,
001001-00-0932, C01,C08,C04,C10,C03,C06,C09,C11,C02,C05,C07
001001-00-0970, C01,C06,C04,C11,C07,C10,,,,,
001001-00-0975, C01,,,,,,,,,,
001001-00-0996, C01,C02,C05,C03,,,,,,,
001001-00-0997, C01,C02,C05,C03,,,,,,,
001001-00-1031, C01,C06,C04,,,,,,,,
001001-00-1047, C01,C02,C07,C05,,,,,,,
001001-00-1096, C01,C02,C03,,,,,,,,
001001-00-1099, C01,C09,,,,,,,,,
001001-00-1101, C01,,,,,,,,,,
001001-00-1163, C01,C10,C11,C06,C04,,,,,,
001001-00-1176, C01,C06,,,,,,,,,
001001-00-1186, C01,C10,C02,C04,C07,C06,C11,,,,
001001-00-1273, C01,C03,,,,,,,,,
001001-00-1294, C01,C06,C07,,,,,,,,
001001-00-1320, C01,C04,C05,,,,,,,,
001001-00-1361, C01,C03,C04,C02,C05,C08,C09,C06,C07,,
001001-00-0035, C01,C06,C04=C07,C10,C11,,,,,,
000302-00-0001, C01,C04,,,,,,,,,
000302-00-0029, C01,C11,,,,,,,,,
000302-00-0044, C01,C02,C03,,,,,,,,
000302-00-0076, C01,,,,,,,,,,
000302-00-0118, C01,C11,C10,C05,C02,C04,C06,C07,C08,C09,C03
000302-00-0120, C01,C04,C10,C11,C07,C06,,,,,
000302-00-0125, C01,,,,,,,,,,
000302-00-0131, C01,C04,C11,C06,C07,C10,,,,,
000302-00-0143, C01,C03,C04,,,,,,,,
000302-00-0145, C01,,,,,,,,,,
000302-00-0149, C01,C06,,,,,,,,,
000302-00-0155, C01,,,,,,,,,,
000302-00-0162, C01,,,,,,,,,,
000302-00-0163, C01,C04,,,,,,,,,
000302-00-0167, C01,C06,C09,,,,,,,,
000302-00-0169, C01,,,,,,,,,,
000302-00-0171, C01,C04,,,,,,,,,
000302-00-0183, C01,C11,C07,C04,C08,,,,,,
000302-00-0189, C01,C05,,,,,,,,,
000302-00-0190, C01,C11,C08,,,,,,,,
000302-00-0193, C01,C05,,,,,,,,,
000302-00-0195, C01,C11,C04,C07,C06,C10,C09,C03,C02,C08,C05
000302-00-0213, C01,C08,,,,,,,,,
000302-00-0225, C01,C08,C06,C07,C04,C11,C10,C09,,,
000302-00-0239, C01,C11,C04,,,,,,,,
000302-00-0243, C01,,,,,,,,,,
000302-00-0253, C01,C04,C11,,,,,,,,
000302-00-0256, C01,,,,,,,,,,
000302-00-0259, C01,C06,,,,,,,,,
000302-00-0262, C01,C06,,,,,,,,,
000302-00-0266, C01,C06,C07,C04,C09,,,,,,
000302-00-0273, C01,C08,C04,C06,C11,C10,,,,,
000302-00-0298, C01,C04,C06,C07,C10,C11,,,,,
000302-00-0300, C01,,,,,,,,,,
000302-00-0310, C01,C09,,,,,,,,,
000302-00-0341, C01,C04,C06,,,,,,,,
000302-00-0386, C01,C04,C06,C07,C10,C11,,,,,
000302-00-0388, C01,,,,,,,,,,
000302-00-0400, C01,C04,C06,C07,C10,C11,,,,,
000302-00-0422, C01,,,,,,,,,,
000302-00-0437, C01,C10,C04,C08,C06,C03,C02,C05,C09,C11,C07
000302-00-0446, C01,C06,,,,,,,,,
000302-00-0448, C01,,,,,,,,,,
000302-00-0532, C01,,,,,,,,,,
000302-00-0533, C01,C11,C04,C06,C07,C08,C09,C10,C03,C02,C05
000302-00-0541, C01,C04,,,,,,,,,
000302-00-0543, C01,,,,,,,,,,
000302-00-0549, C01,,,,,,,,,,
000302-00-0550, C01,,,,,,,,,,
000302-00-0553, C01,,,,,,,,,,
000302-00-0571, C01,,,,,,,,,,
000302-00-0592, C01,C07,C03,,,,,,,,
000302-00-0615, C01,C04,C07,,,,,,,,
000302-00-0622, C01,C04,C06,,,,,,,,
000302-00-0631, C01,,,,,,,,,,
000302-00-0633, C01,,,,,,,,,,
000302-00-0638, C01,C06,C11,,,,,,,,
000302-00-0653, C01,C09,C03,C05,C08,C02,,,,,
000302-00-0658, C01,C07,C04,,,,,,,,
000302-00-0687, C01,C04,C06,C09,C02,C08,C03,C10,C11,C07,C05
000302-00-0725, C01,C11,C10,C09,C07,C03,,,,,
000302-00-0086, C01,C04,C06,,,,,,,,
000302-00-0087, C01,,,,,,,,,,
000302-00-0094, C01,C09,C11,,,,,,,,
000403-00-0037, C01,C07,,,,,,,,,
000403-00-0090, C01,C06,C07,,,,,,,,
000403-00-0116, C01,C11,C02,C07,C10,C09,C06,C05,C04,C03,
000403-00-0120, C01,C04,,,,,,,,,
000403-00-0154, C01,,,,,,,,,,
000403-00-0192, C01,C11,,,,,,,,,
000403-00-0275, C01,C06,C07,C04,C10,C11,,,,,
000403-00-0294, C01,C02,C09,C04,,,,,,,
000403-00-0020, C01,C07,C09,C11,C03,C04=C05,,,,,
000502-00-0191, C01,,,,,,,,,,
000502-00-0247, C01,C04,C06,C07,C08,,,,,,
000502-00-0248, C01,C04,C06,C07,C08,,,,,,
000502-00-0251, C01,C04,C06,C08,C07,,,,,,
000502-00-0281, C01,C04,C09,,,,,,,,
000502-00-0356, C01,,,,,,,,,,
000502-00-0381, C01,C06,,,,,,,,,
000502-00-0425, C01,C04,C11,,,,,,,,
000502-00-0431, C01,,,,,,,,,,
000502-00-0450, C01,C08,,,,,,,,,
000502-00-0498, C01,C08,C09,,,,,,,,
000502-00-0505, C01,C04,C06,,,,,,,,
000502-00-0518, C01,,,,,,,,,,
000502-00-0558, C01,C08,C04,,,,,,,,
000502-00-0582, C01,C11,C02,C04,C05,C07,C09,,,,
000502-00-0656, C01,C04,C06,C07,C10,C11,,,,,
000502-00-0670, C01,C10,C06,C08,,,,,,,
000502-00-0716, C01,C10,C03,C06,C09,C07,C08,,,,
000502-00-0763, C01,C02,,,,,,,,,
000502-00-0819, C01,C02,C03,C04,C05,C06,,,,,
000502-00-0837, C01,,,,,,,,,,
000502-00-0840, C01,C04,,,,,,,,,
000502-00-0842, C01,,,,,,,,,,
000502-00-0861, C01,C06,C11,C05,C04,C08,C10,,,,
000502-00-0881, C01,C08,C11,C04,,,,,,,
000502-00-0899, C01,,,,,,,,,,
000502-00-0938, C01,C04,C11,,,,,,,,
000502-00-0964, C01,C04,C11,,,,,,,,
000502-00-0979, C01,C07,C08,C04,C09,C05,C11,C06,C02,C03,
000502-00-0981, C01,C03,C07,C09,C02,,,,,,
000502-00-0992, C01,,,,,,,,,,
000502-00-0995, C01,,,,,,,,,,
000502-00-1004, C01,C08,C11,C10,C06,C07,,,,,
000502-00-1076, C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11
000502-00-0081, C01,C10,C07,C11,C06,C03,,,,,
000502-00-0083, C01,C05,C06,C08,C09,C10=C11,,,,,
001101-00-0003, C01,,,,,,,,,,
001101-00-0004, C01,,,,,,,,,,
001101-00-0111, C01,C06,,,,,,,,,
001101-00-0128, C01,C05,C10,C03,,,,,,,
001101-00-0160, C01,,,,,,,,,,
001101-00-0193, C01,C04,C09,,,,,,,,
001101-00-0241, C01,C10,C08,C04,,,,,,,
001101-00-0292, C01,,,,,,,,,,
001101-00-0315, C01,C05,C06,C11,C08,C04,,,,,
001101-00-0321, C01,,,,,,,,,,
001101-00-0323, C01,C06,C03,C07,C10,,,,,,
001101-00-0336, C01,C10,C11,C02,C03,C04,C05,C06,C07,,
001101-00-0359, C01,C06,,,,,,,,,
001101-00-0366, C01,C11,,,,,,,,,
001101-00-0439, C01,,,,,,,,,,
001101-00-0466, C01,C04,C06,,,,,,,,
001101-00-0481, C01,C04,C05,,,,,,,,
001101-00-0555, C01,C07,C04,,,,,,,,
001101-00-0587, C01,C10,,,,,,,,,
001101-00-0590, C01,C04,,,,,,,,,
001101-00-0008, C01,WI01,C11,C10,,,,,,,
000501-00-0001, C01,,,,,,,,,,
000501-00-0049, C01,C03,,,,,,,,,
000501-00-0120, C01,C11,C10,,,,,,,,
000501-00-0123, C01,C10,,,,,,,,,
000501-00-0125, C01,,,,,,,,,,
000501-00-0134, C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11
000501-00-0223, C01,,,,,,,,,,
000501-00-0227, C01,,,,,,,,,,
000501-00-0231, C01,C11,C10,C04,,,,,,,
000501-00-0267, C01,,,,,,,,,,
000501-00-0277, C01,C06,,,,,,,,,
000501-00-0285, C01,C06,C07,C04,C10,C11,C05,C02,C03,C09,C08
000501-00-0294, C01,,,,,,,,,,
000501-00-0302, C01,C11,C06,C04,C09,C07,,,,,
000501-00-0309, C01,C06,C10,C11,C07,,,,,,
000501-00-0322, C01,C04,C06,C11,,,,,,,
000501-00-0373, C01,,,,,,,,,,
000501-00-0379, C01,C06,C10,C11,,,,,,,
000501-00-0473, C01,C07,C04,,,,,,,,
000501-00-0503, C01,C11,C08,C10,,,,,,,
000501-00-0551, C01,C06,C07,,,,,,,,
000501-00-0589, C01,C11,C10,C08,C07,C03,,,,,
000501-00-0595, C01,C11,C10,C02,C09,C04,C03,C05,C07,C06,C08
000501-00-0607, C01,C11,C10,C07,C06,C04,C09,C08,C05,C03,C02
000501-00-0623, C01,C02,C09,C05,,,,,,,
000501-00-0637, C01,C04,C09,C11,C06,,,,,,
000501-00-0656, C01,C06,C11,C08,,,,,,,
000501-00-0674, C01,C09,C04,C05,C07,C10,C06,C03,C02,C08,C11
000501-00-0677, C01,C11,C04,,,,,,,,
000501-00-0686, C01,C04,,,,,,,,,
000501-00-0716, C01,C11,C08,C06,C04,,,,,,
000501-00-0724, C01,,,,,,,,,,
000501-00-0727, C01,C11,C10,C07,C06,,,,,,
000501-00-0733, C01,C10,C06,C04,,,,,,,
000501-00-0745, C01,,,,,,,,,,
000501-00-0757, C01,C11,C10,C07,C04,C06,C05,C08,C09,C02,C03
000501-00-0850, C01,C11,C09,C10,,,,,,,
000501-00-0869, C01,C08,C07,C06,C11,C10,C04,,,,
000501-00-0877, C01,C08,C09,C10,C11,C02,C03,C04,C05,C06,C07
000501-00-0889, C01,C08,C10,C07,,,,,,,
000501-00-0927, C01,,,,,,,,,,
000501-00-0999, C01,C06,C11,,,,,,,,
000501-00-0074, C01,C11,C06,C08,,,,,,,
000203-00-0014, C01,C04,C06,C07,C10,C11,,,,,
000203-00-0039, C01,C11,C03,C09,C08,C10,C07,C05,C06,C04,C02
000203-00-0062, C01,C06,C07,C04,C02,C10,C05,C08,C11,C09,C03
000603-00-0013, C01,C08,,,,,,,,,
000603-00-0018, C01,C07,C06,,,,,,,,
000603-00-0025, C01,C05,,,,,,,,,
000603-00-0052, C01,C07,,,,,,,,,
000603-00-0091, C01,C08,C03,,,,,,,,
000603-00-0096, C01,C10,C08,,,,,,,,
000603-00-0100, C01,C11,C10,,,,,,,,
000603-00-0103, C01,C04,C11,C07,C10,,,,,,
000603-00-0194, C01,C07,,,,,,,,,
000603-00-0197, C01,,,,,,,,,,
000603-00-0223, C01,C04,C06,C07,C10,C11,,,,,
000603-00-0231, C01,,,,,,,,,,
000603-00-0239, C01,C05,C04,,,,,,,,
000603-00-0250, C01,C08,C09,C05,C02,C03,,,,,
000603-00-0256, C01,C04,,,,,,,,,
000603-00-0264, C01,,,,,,,,,,
000603-00-0285, C01,C10,,,,,,,,,
000603-00-0295, C01,,,,,,,,,,
000603-00-0297, C01,C10,C11,C07,C03,,,,,,
000603-00-0298, C01,C07,C04,C06,,,,,,,
000603-00-0319, C01,,,,,,,,,,
000603-00-0329, C01,,,,,,,,,,
000603-00-0330, C01,C05,,,,,,,,,
000603-00-0345, C01,,,,,,,,,,
000603-00-0393, C01,C06,C11,C10,C07,C04,,,,,
000603-00-0405, C01,,,,,,,,,,
000603-00-0409, C01,C06,C07,C11,C04,,,,,,
000603-00-0421, C01,C04,C06,C10,,,,,,,
000603-00-0436, C01,,,,,,,,,,
000603-00-0441, C01,C04,,,,,,,,,
000603-00-0450, C01,,,,,,,,,,
000603-00-0456, C01,C09,,,,,,,,,
000603-00-0464, C01,,,,,,,,,,
000603-00-0471, C01,,,,,,,,,,
000603-00-0478, C01,C06,,,,,,,,,
000603-00-0483, C01,C05,C06,C07,C10,C02,C03,,,,
000603-00-0486, C01,,,,,,,,,,
000603-00-0501, C01,C05,,,,,,,,,
000603-00-0523, C01,C10,C04,C07,C06,,,,,,
000603-00-0525, C01,C06,C05,C08,C02,C09,C04,,,,
000603-00-0536, C01,C09,,,,,,,,,
000603-00-0545, C01,C09,,,,,,,,,
000603-00-0557, C01,C04,C07,C08,,,,,,,
000603-00-0562, C01,,,,,,,,,,
000603-00-0585, C01,C09,C02,C04,,,,,,,
000603-00-0588, C01,,,,,,,,,,
000603-00-0589, C01,,,,,,,,,,
000603-00-0592, C01,,,,,,,,,,
000603-00-0613, C01,,,,,,,,,,
000603-00-0615, C01,,,,,,,,,,
000603-00-0620, C01,C10,C07,C06,,,,,,,
000603-00-0630, C01,,,,,,,,,,
000603-00-0637, C01,C02,C09,C04,C07,,,,,,
000603-00-0649, C01,,,,,,,,,,
000603-00-0650, C01,C06,C04,C07,,,,,,,
000603-00-0661, C01,C06,C02,,,,,,,,
000603-00-0692, C01,,,,,,,,,,
000603-00-0714, C01,C11,C04,C08,C10,C07,C06,C03,C02,C09,C05
000603-00-0733, C01,C09,C04,C08,,,,,,,
000603-00-0736, C01,C04,C06,,,,,,,,
000603-00-0737, C01,C04,C06,C11,C10,C08,C09,C03,C02,,
000603-00-0739, C01,C06,C04,,,,,,,,
000603-00-0767, C01,C06,C07,C04,C10,,,,,,
000603-00-0773, C01,,,,,,,,,,
000603-00-0779, C01,,,,,,,,,,
000603-00-0841, C01,C08,,,,,,,,,
000603-00-0911, C01,C08,C04,C05,C06,,,,,,
000603-00-0918, C01,C10,C04,C11,C07,C06,C08,C03,C09,,
000603-00-0940, C01,C11,C06,C10,C04,C07,,,,,
000603-00-0947, C01,C09,C06,C04,,,,,,,
000603-00-0955, C01,C06,,,,,,,,,
000603-00-0969, C01,C10,C04,C06,C07,C11,,,,,
000603-00-0975, C01,C04,C06,C07,C11,C10,,,,,
000603-00-0980, C01,C07,C06,C08,C04,,,,,,
000603-00-1056, C01,C04,,,,,,,,,
000603-00-0073, C01,C06,C07,C02=C03=C04=C05=C08=C09=C10=C11,,,,,,,
000603-00-0076, C01,WI01,,,,,,,,,
000603-00-0078, C01,C02,C09,C07,C03=C04=C05=C06=C08=C10=C11,,,,,,
000603-00-0086, C01,,,,,,,,,,
000401-00-0040, C01,C04,C09,,,,,,,,
000401-00-0072, C01,C04,C06,C11,C10,C07,C05,C08,C03,C02,C09
000401-00-0216, C01,C10,,,,,,,,,
000401-00-0223, C01,C06,C04,C10,C07,C11,C08,,,,
000401-00-0225, C01,C10,C05,C07,C11,,,,,,
000401-00-0242, C01,,,,,,,,,,
000401-00-0330, C01,C03,C07,C06,C11,C10,C04,,,,
000401-00-0363, C01,C04,C06,C08,C09,C02,C03,,,,
000401-00-0378, C01,C05,C04,,,,,,,,
000401-00-0380, C01,C04,C06,C07,C11,,,,,,
000401-00-0392, C01,C11,C03,,,,,,,,
000401-00-0415, C01,C04,C11,,,,,,,,
000401-00-0433, C01,,,,,,,,,,
000401-00-0564, C01,C09,,,,,,,,,
000401-00-0670, C01,C10,C11,,,,,,,,
000401-00-0706, C01,C09,C04,,,,,,,,
000401-00-0708, C01,C06,,,,,,,,,
000401-00-0751, C01,C06,C09,C10,,,,,,,
000401-00-0781, C01,C06,C09,,,,,,,,
000401-00-0823, C01,C08,C04,C09,C06,C07,,,,,
000401-00-1030, C01,C07,C04,,,,,,,,
000803-00-0043, C04,,,,,,,,,,
000803-00-0111, C04,,,,,,,,,,
000803-00-0130, C04,C06,C07,C09,C10,C05,C11,C01,,,
000803-00-0001, C04,C07,C09,WI01,,,,,,,
000101-00-0035, C04,C07,C11,,,,,,,,
000101-00-0072, C04,C07,C02,C01,C08,,,,,,
000101-00-0075, C04,C07,C10,,,,,,,,
000101-00-0078, C04,C10,C07,,,,,,,,
000101-00-0081, C04,C06,C07,C10,C11,C01,,,,,
000101-00-0136, C04,C01,C11,,,,,,,,
000101-00-0207, C04,,,,,,,,,,
000101-00-0293, C04,C01,C08,C11,C10,,,,,,
000101-00-0297, C04,C11,C01,C08,,,,,,,
000101-00-0319, C04,C01,C02,,,,,,,,
000101-00-0321, C04,C01,C11,C06,C10,C07,C05,C03,C02,C09,C08
000101-00-0346, C04,,,,,,,,,,
000101-00-0379, C04,,,,,,,,,,
000101-00-0382, C04,C06,C07,C08,C11,C02,,,,,
000101-00-0386, C04,C10,C08,C09,,,,,,,
000101-00-0392, C04,C01,,,,,,,,,
000101-00-0399, C04,C09,C01,,,,,,,,
000101-00-0433, C04,C11,C10,,,,,,,,
000101-00-0443, C04,C03,C01,C11,C10,C06,,,,,
000101-00-0473, C04,C06,C07,,,,,,,,
000101-00-0476, C04,C05,C10,,,,,,,,
000101-00-0494, C04,C07,C08,,,,,,,,
000101-00-0565, C04,C02,C09,,,,,,,,
000101-00-0608, C04,C11,,,,,,,,,
000101-00-0609, C04,C06,C01,C07,C09,,,,,,
000101-00-0624, C04,C01,,,,,,,,,
000101-00-0630, C04,C08,C09,,,,,,,,
000101-00-0636, C04,,,,,,,,,,
000101-00-0642, C04,C01,,,,,,,,,
000101-00-0654, C04,C05,C08,C09,,,,,,,
000101-00-0678, C04,C08,,,,,,,,,
000101-00-0685, C04,C01,,,,,,,,,
000101-00-0711, C04,C09,C06,,,,,,,,
000101-00-0717, C04,C06,C01,C11,C09,C05,C02,C03,C07,C08,C10
000101-00-0721, C04,C11,,,,,,,,,
000101-00-0757, C04,C01,,,,,,,,,
000101-00-0762, C04,C09,,,,,,,,,
000101-00-0770, C04,,,,,,,,,,
000101-00-0782, C04,C11,,,,,,,,,
000101-00-0787, C04,C01,C10,C07,C06,C11,,,,,
000101-00-0798, C04,C01,,,,,,,,,
000101-00-0813, C04,C06,C11,C08,C01,C10,C09,C02,,,
000101-00-0829, C04,C09,C05,C03,C02,C01,C10,C08,C07,C06,C11
000101-00-0831, C04,C10,C02,,,,,,,,
000101-00-0844, C04,C09,C01,,,,,,,,
000101-00-0849, C04,C06,C01,,,,,,,,
000101-00-0850, C04,C03,C02,C01,C06,C07,C11,C10,C08,C09,C05
000101-00-0877, C04,C07,C08,,,,,,,,
000101-00-0903, C04,C01,C06,,,,,,,,
000101-00-0907, C04,C11,C08,C05,C09,C03,C02,C01,C06,C10,C07
000101-00-0921, C04,C01,C07,C10,C06,C11,,,,,
000101-00-0924, C04,C01,C07,C05,C10,C06,,,,,
000101-00-0942, C04,C09,C10,C05,C06,C07,C11,C01,,,
000101-00-0984, C04,C06,C10,,,,,,,,
000101-00-0993, C04,C11,C01,,,,,,,,
000101-00-0995, C04,C06,C07,C10,C11,C01,,,,,
000802-00-0207, C04,C06,C07,C10,C11,C01,,,,,
000802-00-0275, C04,C07,,,,,,,,,
000802-00-0372, C04,C06,C07,C08,C05,,,,,,
000802-00-0374, C04,C06,C07,C08,C05,,,,,,
000802-00-0377, C04,C07,C08,C01,,,,,,,
000802-00-0463, C04,C08,,,,,,,,,
000802-00-0557, C04,,,,,,,,,,
000802-00-0591, C04,C06,C07,C10,C11,C01,,,,,
000802-00-0642, C04,C07,,,,,,,,,
000802-00-0745, C04,C07,C08,C11,,,,,,,
000802-00-0843, C04,C03,C08,C02,C06,C09,,,,,
000802-00-0924, C04,C06,C07,C10,C11,C01,,,,,
000802-00-0934, C04,C07,C02,C11,C10,C01,,,,,
000802-00-0954, C04,C02,C01,C11,C10,C07,C06,,,,
000802-00-0966, C04,C06,C08,C11,C07,C10,,,,,
000802-00-0025, C04,C11,C10,C06,C07,C09,C08,C02,C03,C01,C05
000802-00-0028, C04,C06,C08,C09,C03,C05,C07,C10,C01,C02,C11
001003-00-0001, C04,C09,C08,C05,C03,C02,C01,C06,C07,C10,C11
001003-00-0002, C04,C01,C09,C11,C07,,,,,,
001003-00-0009, C04,C01,C06,C10,C11,,,,,,
001003-00-0015, C04,C11,C08,C09,,,,,,,
001003-00-0031, C04,C01,C07,C06,C10,,,,,,
001003-00-0033, C04,C08,C09,C10,C11,C01,C02,,,,
001003-00-0034, C04,C07,C09,C10,C11,C01,C08,,,,
001003-00-0048, C04,C09,C03,,,,,,,,
001003-00-0055, C04,C05,C07,C10,C11,C01,,,,,
001003-00-0066, C04,C07,C05,C06,C08,C10,C09,C11,C01,C03,C02
001003-00-0083, C04,C10,C11,C07,C01,C08,,,,,
001003-00-0088, C04,C10,C11,C08,C01,,,,,,
001003-00-0125, C04,C10,C06,C07,C11,C01,,,,,
001003-00-0140, C04,C11,,,,,,,,,
001003-00-0172, C04,C01,C06,C07,C10,,,,,,
001003-00-0184, C04,,,,,,,,,,
001003-00-0216, C04,C10,C11,,,,,,,,
001003-00-0222, C04,,,,,,,,,,
001003-00-0223, C04,C01,,,,,,,,,
001003-00-0233, C04,C10,C11,C07,C09,,,,,,
001003-00-0249, C04,C11,C10,C07,,,,,,,
001003-00-0250, C04,C07,C10,C11,,,,,,,
001003-00-0253, C04,C06,C11,C10,C08,,,,,,
001003-00-0255, C04,C01,,,,,,,,,
001003-00-0259, C04,C11,,,,,,,,,
001003-00-0272, C04,C07,,,,,,,,,
001003-00-0274, C04,C10,C07,C06,C09,,,,,,
001003-00-0281, C04,C09,,,,,,,,,
001003-00-0291, C04,C01,C09,,,,,,,,
001003-00-0294, C04,C01,C09,,,,,,,,
001003-00-0305, C04,C07,C08,C09,,,,,,,
001003-00-0306, C04,C08,,,,,,,,,
001003-00-0313, C04,C09,,,,,,,,,
001003-00-0314, C04,C08,C10,C03,C06,C05,C02,C09,C07,,
001003-00-0317, C04,C06,C08,C07,C11,,,,,,
001003-00-0344, C04,C11,C03,C07,C05,C06,C10,C09,C08,C02,C01
001003-00-0347, C04,,,,,,,,,,
001003-00-0350, C04,C09,C10,C02,,,,,,,
001003-00-0353, C04,C11,C10,,,,,,,,
001003-00-0358, C04,C08,C06,C01,C11,C07,,,,,
001003-00-0360, C04,C07,C11,,,,,,,,
001003-00-0365, C04,C11,C09,C10,,,,,,,
001003-00-0386, C04,C01,C09,C06,C11,,,,,,
001003-00-0388, C04,C09,C06,C11,,,,,,,
001003-00-0401, C04,C09,,,,,,,,,
001003-00-0420, C04,C05,C06,C07,C08,C09,C10,C11,C03,,
001003-00-0426, C04,,,,,,,,,,
